installment_id,invoice_id,installment_number,due_date,amount,paid_amount,balance_amount,status,late_fee,discount_amount,notes
1,1,1,"2024-02-10",5000,5000,0,"paid",0,0,"First installment paid on time"
2,1,2,"2024-03-10",5000,0,5000,"pending",0,0,"Second installment pending"
3,1,3,"2024-04-10",5000,0,5000,"pending",0,0,"Third installment pending"
4,3,1,"2024-02-28",12500,10000,2500,"partial",0,0,"Partial payment received"
5,3,2,"2024-03-28",12500,0,12500,"pending",0,0,"Second installment pending"
6,4,1,"2024-03-01",8500,8000,500,"partial",0,0,"Almost complete payment"
7,4,2,"2024-04-01",8500,0,8500,"pending",0,0,"Second installment pending"
8,4,3,"2024-05-01",8000,0,8000,"pending",0,0,"Final installment pending"
9,5,1,"2024-03-25",9000,6000,3000,"partial",0,0,"Partial payment for digital marketing"
10,5,2,"2024-04-25",9000,0,9000,"pending",0,0,"Second installment pending"
